RBG_CYC_66824_Nw_c0_41V_40C_C10C10_170627_622BNG_VC211_100DOD_127 (155722 Points)
Time (s)	Current (mAh)
580050	20.1
580650	20.1
581250	20.1
581850	20.1
582450	20.1
583050	20.1
583650	20.1
584250	20.1
584850	20.1
585450	20.1
586050	20.1
586650	20.1
587250	20.1
587850	20.1
588450	20.1
589050	20.1
589650	20.1
590250	20.1
590850	20.1
591450	20.1
592050	20.1
592650	20.1
593250	20.1
593850	20.1
594450	20.1
595050	20.1
595650	20.1
596250	20.1
596850	20.1
597450	20.1
598050	20.1
598650	20.1
599250	20.1
599850	20.1
600450	20.1
601050	20.1
601650	20.1
602250	20.1
602850	20.1
603450	20.1
604050	20.1
604650	20.1
605250	20.1
605850	20.1
606450	20.1
607050	20.1
607650	20.1
608250	20.1
608850	20.1
609450	10.6
609462	10.1
609463	-20.1
610062	-20.1
610663	-20.1
611262	-20.1
611862	-20.1
612462	-20.1
613062	-20.1
613662	-20.1
614262	-20.1
614862	-20.1
615462	-20.1
616062	-20.1
616663	-20.1
617262	-20.1
617862	-20.1
618462	-20.1
619062	-20.1
619662	-20.1
620262	-20.1
620862	-20.1
621462	-20.1
622062	-20.1
622662	-20.1
623262	-20.1
623862	-20.1
624462	-20.1
625062	-20.1
625662	-20.1
626262	-20.1
626862	-20.1
627462	-20.1
628062	-20.1
628663	-20.1
629262	-20.1
629862	-20.1
630462	-20.1
631062	-20.1
631662	-20.1
632262	-20.1
632862	-20.1
633462	-20.1
634062	-20.1
634662	-20.1
635262	-20.1
635862	-20.1
636462	-20.1
637062	-20.1
637662	-20.1
638262	-20.1
638862	-20.1
639462	-20.1
640062	-20.1
640662	-20.1
641262	-20.1
641862	-20.1
642462	-20.1
643062	-20.1
643662	-20.1
644262	-20.1
644862	-20.1
645462	-20.1
645901	-20.1
646062	-20.1
646414	-20.1
646662	-20.1
646935	-20.1
647174	-20.1
647262	-20.1
647456	-20.1
647626	-20.1
647739	-20.1
647739	20.1
647789	20.1
647892	20.1
648028	20.1
648191	20.1
648339	20.1
648565	20.1
648840	20.1
648939	20.1
649289	20.1
649539	20.1
650017	20.1
650139	20.1
650739	20.1
651339	20.1
651939	20.1
652539	20.1
653139	20.1
653739	20.1
654339	20.1
654939	20.1
655539	20.1
656139	20.1
656739	20.1
657339	20.1
657939	20.1
658539	20.1
659139	20.1
659739	20.1
660339	20.1
660939	20.1
661539	20.1
662139	20.1
662739	20.1
663339	20.1
663939	20.1
664539	20.1
665139	20.1
665739	20.1
666339	20.1
666939	20.1
667539	20.1
668139	20.1
668739	20.1
669339	20.1
669939	20.1
670539	20.1
671139	20.1
671739	20.1
672339	20.1
672939	20.1
673539	20.1
674139	20.1
674739	20.1
675339	20.1
675939	20.1
676539	20.1
677139	20.1
677739	20.1
678339	20.1
678939	20.1
679539	20.1
680139	20.1
680739	20.1
681339	20.1
681939	20.1
682539	20.1
683139	20.1
683739	20.1
684339	20.1
684939	20.1
685539	20.1
686103	10.1
686103	-20.1
686703	-20.1
687303	-20.1
687903	-20.1
688503	-20.1
689103	-20.1
689703	-20.1
690303	-20.1
690903	-20.1
691503	-20.1
692103	-20.1
692703	-20.1
693303	-20.1
693903	-20.1
694503	-20.1
695103	-20.1
695703	-20.1
696303	-20.1
696903	-20.1
697503	-20.1
698103	-20.1
698703	-20.1
699303	-20.1
699903	-20.1
700503	-20.1
701103	-20.1
701703	-20.1
702303	-20.1
702903	-20.1
703503	-20.1
704103	-20.1
704703	-20.1
705303	-20.1
705903	-20.1
706503	-20.1
707103	-20.1
707703	-20.1
708303	-20.1
708903	-20.1
709503	-20.1
710103	-20.1
710703	-20.1
711303	-20.1
711903	-20.1
712503	-20.1
713103	-20.1
713703	-20.1
714303	-20.1
714903	-20.1
715503	-20.1
716103	-20.1
716703	-20.1
717303	-20.1
717903	-20.1
718503	-20.1
719103	-20.1
719703	-20.1
720303	-20.1
720903	-20.1
721503	-20.1
722103	-20.1
722539	-20.1
722703	-20.1
723053	-20.1
723303	-20.1
723571	-20.1
723808	-20.1
723903	-20.1
724095	-20.1
724263	-20.1
724362	-20.1
724363	20.1
724416	20.1
724522	20.1
724657	20.1
724824	20.1
724962	20.1
725189	20.1
725463	20.1
725562	20.1
725912	20.1
726162	20.1
726644	20.1
726762	20.1
727362	20.1
727962	20.1
728563	20.1
729162	20.1
729762	20.1
730362	20.1
730962	20.1
731562	20.1
732162	20.1
732762	20.1
733362	20.1
733962	20.1
734562	20.1
735162	20.1
735762	20.1
736362	20.1
736962	20.1
737562	20.1
738162	20.1
738762	20.1
739363	20.1
739962	20.1
740562	20.1
741162	20.1
741762	20.1
742362	20.1
742962	20.1
743562	20.1
744162	20.1
744762	20.1
745362	20.1
745962	20.1
746562	20.1
747162	20.1
747762	20.1
748362	20.1
748962	20.1
749562	20.1
750162	20.1
750763	20.1
751362	20.1
751962	20.1
752562	20.1
753162	20.1
753762	20.1
754362	20.1
754963	20.1
755562	20.1
756162	20.1
756762	20.1
757362	20.1
757962	20.1
758562	20.1
759162	20.1
759762	20.1
760363	20.1
760962	20.1
761562	20.1
762162	20.1
762719	10.1
762719	-20.1
763319	-20.1
763919	-20.1
764519	-20.1
765119	-20.1
765719	-20.1
766319	-20.1
766919	-20.1
767519	-20.1
768119	-20.1
768719	-20.1
769319	-20.1
769919	-20.1
770519	-20.1
771119	-20.1
771719	-20.1
772319	-20.1
772919	-20.1
773519	-20.1
774119	-20.1
774719	-20.1
775319	-20.1
775919	-20.1
776519	-20.1
777119	-20.1
777719	-20.1
778319	-20.1
778919	-20.1
779519	-20.1
780119	-20.1
780719	-20.1
781319	-20.1
781919	-20.1
782519	-20.1
783119	-20.1
783719	-20.1
784319	-20.1
784919	-20.1
785519	-20.1
786119	-20.1
786719	-20.1
787319	-20.1
787919	-20.1
788519	-20.1
789119	-20.1
789719	-20.1
790319	-20.1
790919	-20.1
791519	-20.1
792119	-20.1
792719	-20.1
793319	-20.1
793919	-20.1
794519	-20.1
795119	-20.1
795719	-20.1
796319	-20.1
796919	-20.1
797519	-20.1
798119	-20.1
798706	-20.1
798719	-20.1
799151	-20.1
799319	-20.1
799665	-20.1
799919	-20.1
800185	-20.1
800419	-20.1
800519	-20.1
800707	-20.1
800872	-20.1
800950	-20.1
800950	20.1
801003	20.1
801108	20.1
801243	20.1
801407	20.1
801550	20.1
801774	20.1
802046	20.1
802150	20.1
802498	20.1
802750	20.1
803225	20.1
803350	20.1
803950	20.1
804550	20.1
805150	20.1
805750	20.1
806350	20.1
806950	20.1
807550	20.1
808150	20.1
808750	20.1
809350	20.1
809950	20.1
810550	20.1
811150	20.1
811750	20.1
812350	20.1
812950	20.1
813550	20.1
814150	20.1
814750	20.1
815350	20.1
815950	20.1
816550	20.1
817150	20.1
817750	20.1
818350	20.1
818950	20.1
819550	20.1
820150	20.1
820750	20.1
821350	20.1
821950	20.1
822550	20.1
823150	20.1
823750	20.1
824350	20.1
824950	20.1
825550	20.1
826150	20.1
826750	20.1
827350	20.1
827950	20.1
828550	20.1
829150	20.1
829750	20.1
830350	20.1
830950	20.1
831550	20.1
832150	20.1
832750	20.1
833350	20.1
833950	20.1
834550	20.1
835150	20.1
835750	20.1
836350	20.1
836950	20.1
837550	20.1
838150	20.1
838750	20.1
839252	10.1
839252	-20.1
839852	-20.1
840452	-20.1
841052	-20.1
841652	-20.1
842252	-20.1
842852	-20.1
843452	-20.1
844052	-20.1
844652	-20.1
845252	-20.1
845852	-20.1
846452	-20.1
847052	-20.1
847652	-20.1
848252	-20.1
848852	-20.1
849452	-20.1
850052	-20.1
850652	-20.1
851252	-20.1
851852	-20.1
852452	-20.1
853052	-20.1
853652	-20.1
854252	-20.1
854852	-20.1
855452	-20.1
856052	-20.1
856652	-20.1
857252	-20.1
857852	-20.1
858452	-20.1
859052	-20.1
859652	-20.1
860252	-20.1
860852	-20.1
861452	-20.1
862052	-20.1
862652	-20.1
863252	-20.1
863852	-20.1
864452	-20.1
865052	-20.1
865652	-20.1
866252	-20.1
866852	-20.1
867452	-20.1
868052	-20.1
868652	-20.1
869252	-20.1
869852	-20.1
870452	-20.1
871052	-20.1
871652	-20.1
872252	-20.1
872852	-20.1
873452	-20.1
874052	-20.1
874652	-20.1
875220	-20.1
875252	-20.1
875678	-20.1
875852	-20.1
876191	-20.1
876452	-20.1
876714	-20.1
876943	-20.1
877052	-20.1
877235	-20.1
877395	-20.1
877445	-20.1
877445	20.1
877499	20.1
877604	20.1
877740	20.1
877903	20.1
878045	20.1
878268	20.1
878540	20.1
878645	20.1
878989	20.1
879245	20.1
879720	20.1
879845	20.1
880445	20.1
881045	20.1
881645	20.1
882245	20.1
882845	20.1
883445	20.1
884045	20.1
884645	20.1
885245	20.1
885845	20.1
886445	20.1
887045	20.1
887645	20.1
888245	20.1
888845	20.1
889445	20.1
890045	20.1
890645	20.1
891245	20.1
891845	20.1
892445	20.1
893045	20.1
893645	20.1
894245	20.1
894845	20.1
895445	20.1
896045	20.1
896645	20.1
897245	20.1
897845	20.1
898445	20.1
899045	20.1
899645	20.1
900245	20.1
900845	20.1
901445	20.1
902045	20.1
902645	20.1
903245	20.1
903845	20.1
904445	20.1
905045	20.1
905645	20.1
906245	20.1
906845	20.1
907445	20.1
908045	20.1
908645	20.1
909245	20.1
909845	20.1
910445	20.1
911045	20.1
911645	20.1
912245	20.1
912845	20.1
913445	20.1
914045	20.1
914645	20.1
915245	20.1
915711	10.1
915711	-20.1
916311	-20.1
916911	-20.1
917511	-20.1
918111	-20.1
918711	-20.1
919311	-20.1
919911	-20.1
920511	-20.1
921111	-20.1
921711	-20.1
922311	-20.1
922911	-20.1
923511	-20.1
924111	-20.1
924711	-20.1
925311	-20.1
925911	-20.1
926511	-20.1
927111	-20.1
927711	-20.1
928311	-20.1
928911	-20.1
929511	-20.1
930111	-20.1
930711	-20.1
931311	-20.1
931911	-20.1
932511	-20.1
933111	-20.1
933711	-20.1
934311	-20.1
934911	-20.1
935511	-20.1
936111	-20.1
936711	-20.1
937311	-20.1
937911	-20.1
938511	-20.1
939111	-20.1
939711	-20.1
940311	-20.1
940911	-20.1
941511	-20.1
942111	-20.1
942711	-20.1
943311	-20.1
943911	-20.1
944511	-20.1
945111	-20.1
945711	-20.1
946311	-20.1
946911	-20.1
947511	-20.1
948111	-20.1
948711	-20.1
949311	-20.1
949911	-20.1
950511	-20.1
951111	-20.1
951666	-20.1
951711	-20.1
952133	-20.1
952311	-20.1
952646	-20.1
952911	-20.1
953169	-20.1
953394	-20.1
953511	-20.1
953691	-20.1
953847	-20.1
953872	-20.1
953872	20.1
953927	20.1
954032	20.1
